date,1. open,2. high,3. low,4. close,5. volume
2021-06-10,289.88,290.81,284.68,284.91,4044608.0
2021-06-11,285.45,287.36,285.02,286.82,3524361.0
2021-06-14,286.66,286.85,281.5156,283.53,6102270.0
2021-06-15,284.46,284.965,282.65,283.94,3760903.0
2021-06-16,283.73,284.8,281.08,283.11,5510045.0
2021-06-17,284.29,284.5,277.56,278.69,7136848.0
2021-06-18,276.5,276.98,272.455,274.04,12567921.0
2021-06-21,275.62,278.845,275.4279,277.1,5486192.0
2021-06-22,277.57,277.71,275.93,276.92,5225694.0
2021-06-23,276.89,277.0,274.55,274.66,4539789.0
2021-06-24,275.0,276.5765,274.05,275.49,5458502.0
2021-06-25,276.37,279.31,275.35,278.38,5578532.0
2021-06-28,278.82,279.06,275.6,276.61,4026852.0
2021-06-29,276.69,277.975,275.245,276.21,4472125.0
2021-06-30,275.89,278.44,275.66,277.92,4477624.0
2021-07-01,278.2,280.3,277.55,280.17,3648864.0
2021-07-02,281.41,281.41,278.57,279.12,3683408.0
2021-07-06,278.28,278.28,275.095,277.32,4402866.0
2021-07-07,275.99,279.69,275.8,279.24,4413063.0
2021-07-08,276.99,277.74,273.16,274.1,5371245.0
2021-07-09,276.03,280.88,275.74,280.49,4897655.0
2021-07-12,279.05,282.2241,278.2735,280.11,4283827.0
2021-07-13,280.11,280.41,278.36,279.21,3140661.0
2021-07-14,279.07,280.7599,277.77,278.31,4108516.0
2021-07-15,277.13,280.64,277.09,279.72,3276235.0
2021-07-16,280.93,280.93,277.22,277.9,3437180.0
2021-07-19,274.21,275.5,270.73,272.66,5235001.0
2021-07-20,272.66,277.805,272.0,276.89,4738502.0
2021-07-21,277.64,280.9199,277.63,279.88,3437714.0
2021-07-22,278.59,279.27,277.42,277.7,2566626.0
2021-07-23,279.05,279.92,277.74,278.49,3218484.0
2021-07-26,277.78,280.25,277.78,278.8,2424999.0
2021-07-27,278.07,281.09,276.91,280.78,3390459.0
2021-07-28,280.8,280.98,277.6,278.1,3795143.0
2021-07-29,279.29,281.24,279.08,279.76,3524731.0
2021-07-30,280.01,281.08,277.6,278.29,3608251.0
2021-08-02,279.31,281.98,277.73,278.14,3098942.0
2021-08-03,279.05,282.51,276.77,281.8,3631865.0
2021-08-04,280.17,280.92,278.64,278.78,3026158.0
2021-08-05,280.16,282.0,278.33,280.21,3585736.0
2021-08-06,281.82,285.83,281.5,285.63,4838296.0
2021-08-09,287.86,288.73,286.061,287.23,3678930.0
2021-08-10,287.01,289.06,286.0,288.94,3134725.0
2021-08-11,289.45,291.82,288.83,291.28,3475795.0
2021-08-12,291.81,291.81,288.93,290.24,3171022.0
2021-08-13,290.61,291.05,287.12,287.89,3109441.0
2021-08-16,287.0,289.49,285.21,289.45,3564606.0
2021-08-17,288.53,290.77,287.6,289.1,3626986.0
2021-08-18,289.0,290.07,285.95,286.36,3882015.0
2021-08-19,284.96,287.155,283.98,285.13,3394084.0
2021-08-20,284.96,285.92,283.95,285.27,2846685.0
2021-08-23,287.38,287.38,285.39,285.62,2957033.0
2021-08-24,286.01,286.58,284.18,286.02,3187411.0
2021-08-25,286.2,288.56,285.22,287.3,2975425.0
2021-08-26,288.16,288.17,284.985,285.27,3342019.0
2021-08-27,285.62,286.71,285.121,286.6,3485834.0
2021-08-30,286.3,287.04,285.02,285.66,3505799.0
2021-08-31,285.28,286.33,284.76,285.77,6498911.0
2021-09-01,286.59,287.14,284.85,285.26,3326024.0
2021-09-02,285.35,286.44,284.21,285.05,3969981.0
2021-09-03,284.3,284.82,281.71,281.89,4497446.0
2021-09-07,281.91,281.91,278.73,278.9,4866579.0
2021-09-08,278.18,279.95,277.59,279.34,4647350.0
