date,1. open,2. high,3. low,4. close,5. volume
2021-08-03,3340.72,3391.0,3299.77,3366.24,4157343.0
2021-08-04,3379.35,3388.88,3345.56,3354.72,2183945.0
2021-08-05,3356.22,3389.0,3340.92,3375.99,2433503.0
2021-08-06,3375.0,3375.0,3329.0373,3344.94,2637644.0
2021-08-09,3343.61,3354.88,3328.52,3341.87,2148220.0
2021-08-10,3345.01,3358.0,3315.0,3320.68,2412551.0
2021-08-11,3331.4469,3337.7,3277.79,3292.11,2947249.0
2021-08-12,3290.0,3314.51,3269.67,3303.5,2323823.0
2021-08-13,3305.67,3306.065,3283.0,3293.97,2034554.0
2021-08-16,3283.0,3300.0,3211.13,3298.99,3328494.0
2021-08-17,3277.5,3280.49,3225.68,3241.96,3387922.0
2021-08-18,3241.99,3254.0975,3200.0,3201.22,2804311.0
2021-08-19,3194.02,3233.0,3182.4637,3187.75,3782862.0
2021-08-20,3203.8725,3207.81,3175.76,3199.95,3358428.0
2021-08-23,3211.9,3280.9,3210.005,3265.87,3268131.0
2021-08-24,3280.0,3315.4942,3274.58,3305.78,2551841.0
2021-08-25,3309.87,3321.0,3286.15,3299.18,1680306.0
2021-08-26,3299.0,3332.0,3296.0,3316.0,2098761.0
2021-08-27,3333.23,3352.32,3313.75,3349.63,2402369.0
2021-08-30,3357.425,3445.0,3355.22,3421.57,3192244.0
2021-08-31,3424.8,3472.58,3395.59,3470.79,4356413.0
2021-09-01,3496.396,3527.0,3475.24,3479.0,3629911.0
2021-09-02,3494.76,3511.9608,3455.0,3463.12,2925594.0
2021-09-03,3452.0,3482.67,3436.44,3478.05,2578324.0
2021-09-07,3478.0,3528.09,3476.94,3509.29,2741184.0
2021-09-08,3511.65,3545.63,3495.67,3525.5,3053364.0
2021-09-09,3526.02,3549.99,3480.37,3484.16,2719241.0
2021-09-10,3501.8308,3508.45,3462.9055,3469.15,2397269.0
2021-09-13,3482.8,3497.96,3438.0001,3457.17,2569022.0
2021-09-14,3475.55,3486.806,3437.7104,3450.0,1936897.0
2021-09-15,3442.52,3485.42,3402.01,3475.79,2957537.0
2021-09-16,3459.96,3492.55,3446.1432,3488.24,2583598.0
2021-09-17,3488.4146,3497.41,3452.13,3462.52,4616556.0
2021-09-20,3396.0,3419.0,3305.01,3355.73,4669130.0
2021-09-21,3375.0,3379.7,3332.39,3343.63,2780878.0
2021-09-22,3351.0,3389.0,3341.05,3380.05,2411403.0
2021-09-23,3380.05,3428.96,3380.05,3416.0,2379414.0
2021-09-24,3402.01,3429.26,3393.4,3425.52,2116241.0
2021-09-27,3371.5,3415.57,3339.61,3405.8,3634450.0
2021-09-28,3357.71,3369.19,3290.1001,3315.96,4430819.0
2021-09-29,3322.11,3351.3,3297.87,3301.12,2562268.0
2021-09-30,3316.0,3327.85,3273.99,3285.04,2847033.0
2021-10-01,3289.01,3309.1746,3255.94,3283.26,2835617.0
2021-10-04,3279.39,3279.99,3176.25,3189.78,4523057.0
2021-10-05,3204.5,3260.73,3202.464,3221.0,3269208.0
2021-10-06,3213.53,3264.34,3198.62,3262.01,2532977.0
2021-10-07,3291.54,3325.746,3283.06,3302.43,2409075.0
